SL NO,District,Location Name As Per List,Location Address,Location Category,Hotspot included in Phase 
206,Kollam,"Kerala Motor Transport
  Workers Welfare
  Fund Office","Near SP office, Opposite DCC Office, Kollam 691001",Govt Office,Phase-1
207,Kollam,D.T.P.C Kollam,"Jetty Road, Kollam- 691001",Govt Office,Phase-1
208,Kollam,"Village Office,Punalur","Village Office,Punalur,691305",Village Office,Phase-1
209,Kollam,"village office,odanavattom","Odanavattom, Near Odanavattom Village Office, Kerala 691512",Panchayat office,Phase-1
210,Kollam,"village office,kottarakkara","Opposite Court Complex, Kottarakkara Kollam 691506",Village Office,Phase-1
211,Kollam,"village office,ezhukone","ezhukone,691505",Panchayat office,Phase-1
212,Kollam,"Village Office,Anchal","Mini CivilStation,Anchal,Kollam,691306",Village Office/mini civil station,Phase-1
213,Kollam,"Village Office, Thenmala","Village Office,Thenmala P.O,Thenmala-691308",Village Office,Phase-1
214,Kollam,"village office ,Nilamel","village office ,Nilamel,691535",Village Office,Phase-1
215,Kollam,"village office ,kummil","Panchayath Office kummil  ,Kummil P.O, Kollam Pin 691536",Panchayat office,Phase-1
216,Kollam,"village office ,kadakkal","village office,kadakkal,691536",Village Office/mini civil station,Phase-1
217,Kollam,"Taluk Office,Punalur","Mini civil station,Kollam-Tenkasi Rd,Punalur,691305",Taluk Office/mini civil station,Phase-1
218,Kollam,"Taluk Lottery Office,Punalur","Govt homeo hospital punalur Chemmanthoor, Punalur, Kerala 691305",Hospital,Phase-1
219,Kollam,"Taluk hospital,kottarakkara","NH744,Kottarakkara,KERALA,691506",Hospital,Phase-1
220,Kollam,"taluk hospital,kadakkal","taluk hospital kadakkal,691536",Hospital,Phase-1
221,Kollam,Sub-Registrar Office,"Sub-Registrar Office Chadayamangalam, SH 1, Chadayamangalam, Kerala 691534",Govt Office,Phase-1
222,Kollam,"Sub Treasury, Pathanapuram","M G Shopping Complex,Kallumkkadavu,Pathanapuram,Kollam,689695",Govt Office,Phase-1
223,Kollam,"Sub Registrar Office, Pattazhy","Pattazhy P.O,Market Junction,Pattazhy,691522",Govt Office,Phase-1
224,Kollam,"Sub Registrar Office, Pathanapuram","Sub Registrar Office,Pathanapuram,Kollam,689695",Govt Office,Phase-1
225,Kollam,Sub Registrar Office,"Sub Registrar Office,Kottarakkara, Kerala 691506",Govt Office,Phase-1
226,Kollam,"Sub registar office ,Oachira","Oachira, Kerala 690533",Govt Office,Phase-1
227,Kollam,"Range Forest Office,Anchal","Office of the Range forest officer,Anchal Range,Anchal P.O,Kollam-691306",Govt Office,Phase-1
228,Kollam,"Post Office,Anchal","Post Office,Market Jn,Anchal,691306",Post Office,Phase-1
229,Kollam,Childrens Park Kollam,"Asramam
 Kollam 691002",Park,Phase-1
230,Kollam,Neendakara panchayath office,"Neendakara Panchayath Office ,Neendakara, Kollam - 691582",Panchayat office,Phase-1
231,Kollam,"Municipal Office,Karunagappally",Karunagappally - 690518,Municipal Office,Phase-1
232,Kollam,"Taluk Office,Kollam","Taluk Office,
 Near iron bridge
 Kollam-691001",Taluk Office,Phase-1
233,Kollam,"KSRTC,Punalur","KSRTC Bus station ,Punalur,Kollam,691305",Bus Stand,Phase-1
234,Kollam,"KSRTC,Pathanapuram","KSRTC Bus station ,Pathanapuram,Kollam,689695",Bus Stand,Phase-1
235,Kollam,"Pulamon Junction, Kottarakkara KSRTC Stand","Pulamon Junction,
  Kottarakkara, Kerala 691531",Bus Stand,Phase-1
236,Kollam,"KSRTC Busstand ,Oachira","Highway, Kerala 691554",Bus Stand,Phase-1
237,Kollam,KSRTC Bus Stand,"Chadayamangalam, Main Central Rd, Kerala 691534",Bus Stand,Phase-1
238,Kollam,KSRTC Bus Stand,"KSRTC Bus Stand,Ayoor,691533",Bus Stand,Phase-1
239,Kollam,KSRTC Bus stand,KSRTC Bus stand  Near Taluk Office Kollam-691001,Bus Stand,Phase-1
240,Kollam,"kseb,puthur","kseb,puthur,691507",Govt Office,Phase-1
241,Kollam,"KSEB,Punalur","Power House Junction,Tholicodu P.O,Punalur,691305",Govt Office,Phase-1
242,Kollam,kottarakkara police station,"police station kottarakkara,691506",Police Station,Phase-1
243,Kollam,"Karunagapally Taluk
  Office","Ground Floor, Mini Civil Station, Karunagappally- 690518",Taluk Office/mini civil station,Phase-1
244,Kollam,kalluvathukkal panchayath office,kalluvathukkal p.o.kollam-691578,Panchayat office,Phase-1
245,Kollam,"Civil Station ,Mulavana","mini civil station, 3rd floor, kundara 691501",Civi Station/Mini Civil station,Phase-1
246,Kollam,Govt.Victoria Hospital,"Govt.Victoria Hospital,
 Kollam-691001",Hospital,Phase-1
247,Kollam,"Govt. Hospital,Kollam","Govt. Hospital,Near Victoria
 Hospital, Kollam-691001",Hospital,Phase-1
248,Kollam,"Govt Hospital,Punalur","Taluk Hospital,Kollam-Tenkasi Rd,Punalur,691305",Hospital,Phase-1
249,Kollam,"Government Hospital, karunagappally","Hospital Junction, 
 Karunagappally- 690518",Hospital,Phase-1
250,Kollam,"Excise Office,Punalur","Excise Range Office,Pathanapuram,Punalur,691305",Govt Office,Phase-1
251,Kollam,City Corporation Office,"NH 66, Kollam, Kerala 691001",Corporation  Office,Phase-1
252,Kollam,Mahatma Gandhi Park Kollam,"Beach Road Kollam, Kerala 691001",Park,Phase-1
253,Kollam,"BJM Govt. College,
  Chavara,Commerce building","Sankaramangalam, Chavara,
  Kerala 691583",University/College,Phase-1
254,Kollam,"BJM Govt. College,
  Chavara - Admin block","Sankaramangalam, Chavara,
  Kerala 691584",University/College,Phase-1
255,Kollam,"Akshaya centre, Alimukku","Akshaya centre,Alimukku Jn,Piravanthoor,689696",Akshaya,Phase-1
256,Kollam,Adventure Park Kollam,"Asramam
 Kollam 691002",Tourist Place,Phase-1
257,Kollam,"Additional Sub 
 Registrar Office","Pulamon Junction,
  Kottarakkara, Kerala 691531",Govt Office,Phase-1
258,Kollam,"village office,aadichanallor","aadichanallor,691311",Village Office,Phase-2
259,Kollam,Akshaya Center Kottiyam,"Akshaya E Center
 Kottiyam 691571",Akshaya,Phase-2
260,Kollam,"Akshaya centre, Anchal","Klm 062 ,Opp Plavilayil Complex,Main Road,Anchal",Akshaya,Phase-2
261,Kollam,"Range Forest Office, Aryancavu","Range Forest Office,Aryancavu P.O,691309",Govt Office,Phase-2
262,Kollam,"Village Office, Aryancavu","Aryancavu P.O,Aryancavu,691309",Village Office,Phase-2
263,Kollam,"Rama Rao Govt 
 Taluk Hospital","Chathannoor Rd, Nedungolam,
  Kerala 691334",Hospital,Phase-2
264,Kollam,Sub Registrar office paravoor,"Paravur - Chathannoor Rd, Paravoor, Kerala 691334",Govt Office,Phase-2
265,Kollam,Chavara village Office,"Sankaramangalam, Chavara,
  Kerala 691583",Village Office/mini civil station,Phase-2
266,Kollam,"Office of the circle Inspector of police,Sangaramangalam","National Highway 66, Sankaramangalam, Chavara, Kerala 691583",Govt Office,Phase-2
267,Kollam,"KSEB Office,Nallezhthmukku","KSEB Office,Nallezhthmukku, chavara,691583",Govt Office,Phase-2
268,Kollam,"Village Office
 Chirakkara","Chirakkara
 Kollam
 691578",Village Office,Phase-2
269,Kollam,"Village Office,East Kallada","East Kallada,691502",Village Office,Phase-2
270,Kollam,Clappana Village office,"Clappana,Karunagappally, Kerala - 690528, India",Village Office,Phase-2
271,Kollam,"village office,shakthikulangara","shakthikulangara,691003",Village Office,Phase-2
272,Kollam,"Village Office,Elamadu","Elamadu P.O,Edatharappana Jn,691533",Panchayat office,Phase-2
273,Kollam,"village office,Elampallor","Ellampallor,691501",Village Office,Phase-2
274,Kollam,"public library,kannalloor","kannalloor,691576",Library,Phase-2
275,Kollam,kerala state Warehousing Corporation,"karicode, Kollam 691005",Govt Office,Phase-2
276,Kollam,"Post office ,Karunagappally","Head Post Office NH47, Near AM Hospital Pada: North Karunagappally PIN – 690542",Post Office,Phase-2
277,Kollam,"esi ,keralapuram","ESI Hospital, keralapuram perumpuzha po 691504",Hospital,Phase-2
278,Kollam,kollam corporation zonal office kilikollur,"kollam corporation zonal office kilikollur po ,691019",Corporation  Office,Phase-2
279,Kollam,"Village Office,Kilikollur","Village Office,kilikollur,691019",Village Office,Phase-2
280,Kollam,Post office,Chinnakkada kollam 691001,Post Office,Phase-2
281,Kollam,Excise Division Office Kollam,Chinnakkada kollam 691001,Govt Office,Phase-2
282,Kollam,"Kerala State Pollution Control Board, Kollam","Ushus Building, Big Bazar, Kollam, Kerala 691001",Govt Office,Phase-2
283,Kollam,"Akshaya Center
 Thamarakulam","Thamarakulam, Kollam 691001",Akshaya,Phase-2
284,Kollam,"Health center,mavadi",community health center mavadi kulakkada 691507,Hospital,Phase-2
285,Kollam,"village office ,kunnathur","village office ,kunnathur P.O Kollam Kerala 690521",Village Office,Phase-2
286,Kollam,"village office ,Mangadu","village office ,Mangadu,691015",Village Office,Phase-2
287,Kollam,"Village Office 
 Mayyanad","Village Office Mayyanad ,Naduvilakkara ,Umayanaloor ,Mayyanad 691303",Village Office,Phase-2
288,Kollam,Govt. Hospital Mayyanad,"Hospital Jn.
 Mayyanad
 Pin. 691303",Hospital,Phase-2
289,Kollam,"College of Engineering
  Karunagappally","Engineering College Rd, Thodiyoor , Kollam, Karunagappally- 690523",University/College,Phase-2
290,Kollam,"Village Office,mynagappally","Kerala Institute of Local Administration ( KILA ) Nellikunnam, Kottarakkara, Kollam, Kerala 691506
",University/College,Phase-2
291,Kollam,Neendakara Village office,"Neendakara, 691582",Village Office,Phase-2
292,Kollam,"Paravur Municipality
  Office","Paravur Town Rd, Paravur,
  Kerala 691301",Municipal Office,Phase-2
293,Kollam,Village Office Parippally,"Village Office,Parippally, Kollam - 691574",Village Office,Phase-2
294,Kollam,"Taluk Office, Pathanaparam","Mini civil station,Pallimukku,Pathanapuram,689695",Taluk Office/mini civil station,Phase-2
295,Kollam,"Akshaya E Governance 
 Centre","Office of the Assistant Engineer, Irrigation Section, Kottiyam 691571",Govt Office,Phase-2
296,Kollam,Govt Homeo Dispensary bhoothakulam,"Near Paravur-Bhoothakulam Rd, bhoothakulam, Kerala 691302",Hospital,Phase-2
297,Kollam,"village office ,poruvazhy","village office ,poruvazhy,690520",Village Office,Phase-2
298,Kollam,"Regional Transport Office,Nellipally","KL25,Nellipally,Punalur,691305",Govt Office,Phase-2
299,Kollam,taluk office shasthamkotta,"shasthamkotta,690521",Taluk Office,Phase-2
300,Kollam,"village Office,shasthamkotta","shasthamkotta,690521",Village Office,Phase-2
301,Kollam,"village office,sooranad North","village office,sooranad North,Kollam Kerala 690561",Village Office,Phase-2
302,Kollam,"village office ,sooranad south","Nediyapadam Rd, sooranad south, sooranad P.O Kollam 690522",Panchayat office,Phase-2
303,Kollam,Pavumba village office,"Pavumba south P.O ,Karunagapally-690574",Village Office,Phase-2
304,Kollam,Thazhava village office,"Thazhava p.o,kuttipuram,karunagappally-690523",Village Office,Phase-2
305,Kollam,"Kallada Irrigation Project, Thenmala","K.I.P.R.B,Subdivision No.2,Thenmala,691308",Govt Office,Phase-2
306,Kollam,"Eco Tourism ,Thenmala","Thenmala EcoTourism,Dam P.O,Thenmala,691308",Govt Office,Phase-2
307,Kollam,"Village Office,Edamon","Village Office Edamon,Sathram Jn,Edamon,691307",Village Office,Phase-2
308,Kollam,"village office ,thrikkovilvattom","Mukhathala, 691577",Village Office,Phase-2
309,Kollam,"Village Office,Vilakkudy","Village Office,Elampal P.O,Punalur,691322",Village Office,Phase-2
310,Kollam,"KSFE,Chinnakkada",Chinnakkada kollam 691001,Govt Office,Phase-2
311,Kollam,"BSNL,Kunnicode","Kunnicode P.O,Kollam",Public Place,Phase-2
312,Kollam,CHATHANOOR MINI CIVIL STATION,"Mini civil station Chathannoor, Chathannoor near bus stand, Kerala 691334",Civi Station/Mini Civil station,Phase-2
313,Kollam,KOTTARAKKARA MINICIVIL STATION,"Mini Civil Station, kottarakkara,691506",Civi Station/Mini Civil station,Phase-2
314,Kollam,KSRTC Chathannur Sub Depot,"KSRTC Chathannur Sub Depot Guest House Rd, Chathannoor, Kerala 691572",Bus stand,Phase-2
315,Kollam,KSRTC Kulathupuzha Operating Centre,"Kerala State RTC Bus Station Bus Station Rd, Kulathupuzha, Kerala 691310",Bus stand,Phase-2
316,Kollam,"Taluk Hospital,Kundara","Taluk Hospital Kanjirakode, Kundara Mulavana, Kerala 691501",Hospital,Phase-2
317,Kollam,"Vaidyuthi Bhavan,Kottarakkara","Vaidyuthi Bhavan,Kottarakkara, Kerala 691506",Govt Office,Phase-2
318,Kollam,"Melila GP,Nr.Chengamanad Jn.","NH7-Road, Chengamanad, Kerala 691557",Panchayat office,Phase-2
319,Kollam,"Velinalloor GP,Nr.Oyur Jn.","Velinalloor Grama Panchayat Office Ayoor Ithikkara Rd, Oyoor, Kerala 691510",Panchayat office,Phase-2
320,Kollam,"Karavaloor Grama Panchayat,","Karavaloor Grama Panchayat, Mathra Punalur Road, Mathra, Kerala 691315",Panchayat office,Phase-2
321,Kollam,Vilakudy GP,"Vilakkudy Grama Panchayat Office Kollam-Tirumangalam Road, Kunnicode, Kerala 691508",Panchayat office,Phase-2
322,Kollam,"Govt.Taluk Hospital,Sasthamkotta","College Rd, Sasthamcotta, Kerala 690521",Hospital,Phase-2
323,Kollam,8-Point Art Café,"asramam, near adventure park, kollam",Tourist Place,Phase-2
324,Kollam,"Mahadeva Desai Library,Karungapally","Near AVHSS Junction, Opposite AVHSS School, Thazhava, Karunagapally",Library,Phase-2
325,Kollam,"Matsyabhavan office, Alappad","Matsyabhavan office, Alappad",Fisheries Department,Phase-2
326,Kollam,"Matsyabhavan office, Neendakara","Matsyabhavan office, Neendakara",Fisheries Department,Phase-2
327,Kollam,"Matsyabhavan office, Boat Building yard, Sakthikulngara,","Matsyabhavan office, Boat Building yard, Sakthikulngara,",Fisheries Department,Phase-2
328,Kollam, THQH Neendakara,"Neendakara, Chavara, Kerala, 691582,Klm 0476-2680227 60 R Neendakara Panchayath",Hospital,Phase-2
329,Pathanamthitta,Adoor,"Taluk  office Room,opp employmen exchange office,Revene tower Adoor",Civi Station/Mini Civil station,Phase-1
330,Pathanamthitta,Peringanad,"village office
Peringanad, Peringanadu, Kayamkulam - Punalur Rd, Peringanad, Kerala 691523",Village Office,Phase-1
331,Pathanamthitta,Kozhenchery,"District  hospital
Kozhencherry ,Thiruvalla kumbazha highway,Kozhenchery689641",Hospital,Phase-1
332,Pathanamthitta,Kozhenchery,"village office,Mini Civil Station,Kozhenchery",Village Office,Phase-1
333,Pathanamthitta,Kavumbhagum,"village Office,Opp Devasom Board Higher Secondary School,Kavmbhagom",Village Office,Phase-1
334,Pathanamthitta,Thadiyoor,"post office
thadiyoor
, kerala 689545",Post Office,Phase-1
335,Pathanamthitta,Pallickal,"payyanalloor,nooranadu,kerala-690561",Panchayat office,Phase-1
336,Pathanamthitta,Pramadom Panchayat,panchayat Mallasseri P.O. District : Pathanamthitta State : Kerala  PIN : 689 646,Panchayat office,Phase-1
337,Pathanamthitta,Vallicode Panchayat,"Vallicode panchayat Office
Vallicode
Pin689656",Panchayat office,Phase-1
338,Pathanamthitta,Aruvapulam Panchayat,"Konni,Achankovil road Kerala-689691",Panchayat office,Phase-1
339,Pathanamthitta,Naranganam Panchayat,"panchayat ,Naranganam
689642",Panchayat office,Phase-1
340,Pathanamthitta,Kunnanthanum Panchayat,"Panchayat office,Kunnamtanam,Kerala-689581",Panchayat office,Phase-1
341,Pathanamthitta,Ezumattoor Panchayat,"panchayat office 
Ezumatoor 689586",Panchayat office,Phase-1
342,Pathanamthitta,Vadaserikara Panchayat,"panchayat office
Vadasserikkara, Kerala, India689662",Panchayat office,Phase-1
343,Pathanamthitta,Kiliyanickal Junction Panchayath,"Panchayat office, Cherukole
Kattoor P.O , Ranny Kerala 689650, India",Panchayat office,Phase-1
344,Pathanamthitta,Ranni Angadi Panchayat,"Ranni Angadi Panchayath Office, SH8, Pazhavangadi, Ranni, Kerala 689673",Panchayat office,Phase-1
345,Pathanamthitta,Pulikeezhu block office,"block office
thiruvalla mavelikkara rd, 
kadapra, kerala 689104,",Block Office,Phase-1
346,Pathanamthitta,Koipuram block office,"Koipuram Block panchayat office ,Koipuram-Pullad
Pin:689531",Block Office,Phase-1
347,Pathanamthitta,Panchayat/Mallapally Panchayath,"Keezhvaipur, Kerala 689587/Malapally panchayath",Panchayat office,Phase-1
348,Pathanamthitta,Aranmula,"Village office  ,Near Mini Civil Station,Aranmula",Village Office,Phase-1
349,Pathanamthitta,Puramutam,"village office
 Puramuttam 689543",Village Office,Phase-1
350,Pathanamthitta,Kuttoor,"Kuttoor village office
Kuttoor Pin-689106",Village Office,Phase-1
351,Pathanamthitta,Kaviyoor,"village office,Kaviyoor
689105",Village Office,Phase-1
352,Pathanamthitta,Pandalam,"bus stand
Kochalummoodu - Pandalam Rd, Pandalam, Kerala 689501",Bus Stand,Phase-1
353,Pathanamthitta,Adoor,"bus stand
Kayamkulam - Pathanapuram Rd, Parass La, Adoor, Kerala 691523",Bus stand,Phase-1
354,Pathanamthitta,Erathu,"Panchayat office,Vadakkadathukavu, Kerala 691551, India",Panchayat office,Phase-1
355,Pathanamthitta,Omallur,"village office
Omalloor Market Bus Stop, Kaipattoor Pathanamthitta Rd, Omalloor, Pathanamthitta, Kerala 689647, India",Village Office,Phase-1
356,Pathanamthitta,Kalanjoor,"panchayat office kalanjoor,Pin:689694",Panchayat office,Phase-1
357,Pathanamthitta,Konni ,"Konni village office,near police station
Konni
Pin 689691

",Village Office,Phase-1
358,Pathanamthitta,Pathanamthitta,"KSRTC pathanamthitta, Ksrtc complex building, Pathanamthitta, 689645",Bus stand,Phase-1
359,Pathanamthitta,Friends Pta,"Friends,Near Collectrate,Chittoor,Rd pathanamthitta,689645",Govt Office,Phase-1
360,Pathanamthitta,Mallapally," Panchayat Bus stand
mallappally 689584",Bus stand,Phase-1
361,Pathanamthitta,Vennikulam ,"post office
Vennikulam - Ranni Road, 
Vennikulam, Kerala 689544",Post Office,Phase-1
362,Pathanamthitta,Mallapally," taluk office,civil station,Mallappally 
689584",Civi Station/Mini Civil station,Phase-1
363,Pathanamthitta,Kotangal,"Kottangavillage office,Kulathoor
l  686547",Village Office,Phase-1
364,Pathanamthitta,Ranny Perunad,"Panchayat office Perunthenaruvi Rd,Ranni perunad,689662",Panchayat office,Phase-1
365,Pathanamthitta,"Thiruvalla,Pathanamthitta, civil station","Taluk office,civil station
thiruvalla-kumbazha hwy
, pathanamthitta, kerala 689645",Civi Station/Mini Civil station,Phase-1
366,Pathanamthitta,Thottapuzhasery,"village office
thiruvalla-kumbazha hwy,Maramon,
 thottapuzhacherry, kerala 689549",Village Office,Phase-1
367,Pathanamthitta,Market Junction Thiruvalla,"Akshaya centre,1st floor,market jn thiruvalla,kerala 689101",Akshaya,Phase-1
368,Pathanamthitta,Muthoor,"Post office,Thiruvalla,Muthoor,689101",Post Office,Phase-1
369,Pathanamthitta,Vallam Kulam,"Vallamkulam, thiruvalla , pathanamthitta 689541",Village office,Phase-1
370,Pathanamthitta,Ihrd Adoor,"Adoor
M M T Road, Parass La, Adoor, Kerala 691523, India",University/College,Phase-2
371,Pathanamthitta,Adoor govt hospital,"govt hospital
M M T Road, Parass La, Adoor, Kerala 691523, India",Hospital,Phase-2
372,Pathanamthitta,Enadimangalam,"Village Office, Panchayath Jn Bus Stop, Enadimangalam 691524",Village Office,Phase-2
373,Pathanamthitta,Kurampala,"village office
National Highway 220, Kadakkadu, Pandalam, Kerala 689501",Village Office,Phase-2
374,Pathanamthitta,Ezamkulam,"Panchayat office,Ezhamkulam -Kaipattoor Rd,Ezhamkulam ,Kerala-691554",Panchayat office,Phase-2
375,Pathanamthitta,Kodumon,"village office
Ezhamkulam Kaipattoor Rd, Kodumon, Kerala 691555",Village Office,Phase-2
376,Pathanamthitta, Pandalam village office,"village office
Kottarakkara - Kottayam Road, Pandalam, Kerala 689501, India",Village Office,Phase-2
377,Pathanamthitta,Pandalam Thekekara,"village office
Adoor-Anandapally-Thumpamon Rd, Pandalam Thekkekara, Kerala 691525",Village Office,Phase-2
378,Pathanamthitta,Konni  Bus stand,"Bus stand
Konni Bus Station, Chandanappalli-Konni Road, Konni, Kerala 689691, India",Bus Stand,Phase-2
